author,now_price,pre_price,short_title,title
李仁钟,¥29.50,¥59.00, R语言数据分析从入门到实战, R语言数据分析从入门到实战 使用简单的R语言，应用于机器学习、数据分析、文本分析、推荐系统等领域，培养编写程序的能力。
黄小平,¥39.50,¥79.00, 目标定位跟踪原理及应用——MATLAB仿真, 目标定位跟踪原理及应用——MATLAB仿真 
CAE技术联盟,¥49.90,¥99.80, AutoCAD 2022中文版家具设计从入门到精通, AutoCAD 2022中文版家具设计从入门到精通 百万工程师的选择，69集同步微视频，45个经典实例，3个综合演练，6套设计图集，7部速查手册
鲸鱼飞机,¥39.90,¥79.80, 半小时漫画学Python 看漫画学Python，超简单 python编程入门书 python数据分析 零基础学pytho, 半小时漫画学Python 看漫画学Python，超简单 python编程入门书 python数据分析 零基础学pytho Python编程入门书籍，用生动有趣的漫画引导读者零基础学Python编程语言，掌握用Python 3进行统计、数据处理与数据分析的技术。边看漫画边学Python，高效、好玩、有趣。
明日科技,¥49.00,¥98.00, Python OpenCV 从入门到实践（全彩版）, Python OpenCV 从入门到实践（全彩版） 
吴灿铭,¥44.50,¥89.00, 图解算法：C++语言实现+视频教学版, 图解算法：C++语言实现+视频教学版 零负担理解数据结构及其算法的设计，零基础也能快速上手编程。C++，数据结构，算法，图解算法，查找，排序，数据，链表，队列，树，图
郭书,¥39.90,¥79.80, 中文版Photoshop平面广告设计实战案例解析, 中文版Photoshop平面广告设计实战案例解析 10大行业的实际应用，25个精美实用案例，100多个素材文件和效果文件，180多分钟的教学视频，让你从设计理念到操作步骤“吃透”每一个实例！
3dtotal,¥54.00,¥108.00, Procreate数字绘画从入门到精通：角色设计篇, Procreate数字绘画从入门到精通：角色设计篇 来自3dtotal出版社的iPad手绘指南 详尽的Procreate角色设计数字绘画教程 8位世界一流CG绘画大师 60页Procreate基础入门指导 Procreate APP使用基础
唯美世界,¥49.90,¥99.80, 中文版Cinema 4D R21从入门到精通（微课视频全彩版）c4d r21 c4d教程入门到精通 c4d完全自学教程, 中文版Cinema 4D R21从入门到精通（微课视频全彩版）c4d r21 c4d教程入门到精通 c4d完全自学教程 畅销70册唯美系列作者全新力作！157集视频+121个实例+配套源文件+实例素材+海量配套资源，三维建模+渲染+电商广告+影视动画+CG游戏+特效，Adobe专家手把手教学C4D
杜军,¥24.50,¥49.00, 数控宏程序编程手册, 数控宏程序编程手册 
博蓄诚品,¥34.50,¥69.00, Excel高效商务办公一本通, Excel高效商务办公一本通 Excel从入门到精通，表格制作+数据分析+数据处理+图表展示，海量学习资源
毛彤,¥49.50,¥99.00, 抖音+剪映+Premiere短视频制作从新手到高手（第2版）, 抖音+剪映+Premiere短视频制作从新手到高手（第2版） 全彩印刷 超值附送83个视频，长达220分钟，扫码即可直接观看
吴光科,¥34.50,¥69.00, Linux云计算——Kubernetes实战, Linux云计算——Kubernetes实战 Linux运维实战专家吴光科团队精心打造，近百位来自百度、阿里、腾讯、京东专家共同打磨，3000分钟视频讲解
叶哲语,¥29.50,¥59.00, 我跟爸爸学编程：从Python到C++, 我跟爸爸学编程：从Python到C++ 从初中生的视角讲解Python和C++两种语言
特雷弗·哈斯蒂,¥79.50,¥159.00, 统计学习要素：机器学习中的数据挖掘、推断与预测（第2版）, 统计学习要素：机器学习中的数据挖掘、推断与预测（第2版） 三位统计学家高屋建瓴，面向非统计专业的读者介绍重要的统计学概念，而非纯数学理论，借助于一个通用概念框架，阐述多个学科的重要思想 比如医学、生物学、金融学和营销
安筱鹏,¥39.50,¥79.00, 重构：数字化转型的逻辑, 重构：数字化转型的逻辑 
网络安全技术联盟,¥39.90,¥79.80, 网络安全与攻防入门很轻松（实战超值版）, 网络安全与攻防入门很轻松（实战超值版） 网络安全实用手册，一线网络安全技术联盟多年实战经验倾心打造、配套同步微视频、精美教学PPT课件和海量资源。
Ralph,¥39.50,¥79.00, 数据仓库工具箱(第3版)——维度建模权威指南, 数据仓库工具箱(第3版)——维度建模权威指南 维度建模技术、模式和实践，14个案例涉及零售业、电子商务、客户关系管理、采购、库存、订单管理、会计、人力资源、金融服务、医疗卫生、保险、教育、电信和运输等
唯美世界,¥64.00,¥128.00, 中文版Premiere Pro 2023从入门到实战（全程视频全两册）用pr比剪映更专业 pr入门教材书籍 短视频剪辑教, 中文版Premiere Pro 2023从入门到实战（全程视频全两册）用pr比剪映更专业 pr入门教材书籍 短视频剪辑教 AE后期专业搭档，影视片头、影视特效、短视频、Vlog视频剪辑专业工具，扫码看167集教学视频讲解+119个实例案例，赠AE+PS+3ds Max基础视频+丰富资源，在线答疑
安德鲁,¥99.00,¥198.00, Head First C#（第四版）, Head First C#（第四版） C#和.NET Core实用编程学习指南，重视大脑的学习指南。
陆小风,¥59.00,¥118.00, 计算机底层的秘密, 计算机底层的秘密 计算机底层的秘密-限量签名版
马少平,¥44.90,¥89.80, 艾博士：深入浅出人工智能, 艾博士：深入浅出人工智能 概念准确，通俗易懂，知识系统；有微课视频和科普公众号帮助读者提高理解能力
英国DK公司,¥64.00,¥128.00, DK图解计算机科学 儿童STEM创新思维培养, DK图解计算机科学 儿童STEM创新思维培养 本书用图画方式深入计算机“内部”，帮助孩子掌握计算机的基本工作原理，学会用计算机解决生活中的小问题、小麻烦。
李永华,¥39.50,¥79.00, 鸿蒙App案例开发实战——生活应用与游戏开发30例, 鸿蒙App案例开发实战——生活应用与游戏开发30例 鸿蒙操作系统技术开发与具体应用 全面涵盖场景构思、系统设计、工程实现等创新实践
丁向民,¥39.50,¥79.00, CCF CSP第一轮认证一本通, CCF CSP第一轮认证一本通 针对历年真题提供详细的分析，针对考试大纲提供丰富的练习，针对考试内容提供详尽的讲解。
成生辉,¥49.00,¥98.00, Web 3.0（具有颠覆性与重大机遇的第三代互联网）, Web 3.0（具有颠覆性与重大机遇的第三代互联网） 从科学技术的角度认识Web 3.0：元宇宙、区块链、DAO、NFT、智能合约、代币、3D技术
曹化宇,¥44.90,¥89.80, Excel+Python轻松掌握数据分析, Excel+Python轻松掌握数据分析 Excel、Python与数据库数据分析实战指南，灵活搭配使用三大主流数据分析工具，贴近实际职场的应用案例，附赠源代码及彩图文件，提升数据分析能力。
李佳芮,¥59.50,¥119.00, Chatbot从0到1（第2版）：对话式交互实践指南, Chatbot从0到1（第2版）：对话式交互实践指南 探索大模型应用、对话式AI的奥秘！陆奇、韦青、王小川等行业专家一致力荐！
曹鉴华,¥34.50,¥69.00, 数据荒岛求生——从Excel数据分析到Python数据分析 数据可视化 数据之道 数据治理 数据中台 大数据分析 数据建, 数据荒岛求生——从Excel数据分析到Python数据分析 数据可视化 数据之道 数据治理 数据中台 大数据分析 数据建 本书对比Excel数据分析来学习编码，实现Python数据分析，通过实战案例，全面、系统地讲解了数据分析的基础、两种数据分析方法的区别和应用方法。
David,¥84.00,¥168.00, Logic Pro X 10.4 音频编辑高级教程, Logic Pro X 10.4 音频编辑高级教程 Apple官方授权指定培训教材，超强大的专业音乐制作教程
Victor,¥69.00,¥138.00, CG造型基础与创作·进阶篇, CG造型基础与创作·进阶篇 
张伟楠,¥44.90,¥89.80, 动手学机器学习, 动手学机器学习 上海交通大学ACM班创办人俞勇教授团队编写，
武松,¥59.00,¥118.00, 预测模型实战：基于R、SPSS和Stata（新时代·技术新未来）, 预测模型实战：基于R、SPSS和Stata（新时代·技术新未来） 全面拆解临床预测模型知识体系；真实案例一镜到底，助您充分掌握预测模型全流程；不仅讲授方法，更注重经验总结，扫除疑难杂症；从统计小白到领域精英，厘清思路，注重实战，解决问题
王岩,¥49.50,¥99.00, DaVinci Resolve 18 达芬奇视频剪辑与调色, DaVinci Resolve 18 达芬奇视频剪辑与调色 案例的操作步骤中穿插了大量扩展知识和相关技巧，全面讲解了DaVinci Resolve的各项功能。
西村泰洋,¥34.90,¥69.80, 完全图解云计算云服务工作原理 通信技术计算机科普书 分布式服务 云计算概念入门 云服务器架构 云计算安全 云计算与大数据, 完全图解云计算云服务工作原理 通信技术计算机科普书 分布式服务 云计算概念入门 云服务器架构 云计算安全 云计算与大数据 从构建技术、驱动技术和安全等层面来解释云计算！涵盖过去、现在、未来的IT技术发展和具体示例！介绍实际业务应用场景中的发展动态和前沿动向！重点讲解商务人士开展业务需要的知识！
王非,¥44.00,¥88.00, Mugeda零代码可视化H5设计实战, Mugeda零代码可视化H5设计实战 Mugeda（木疙瘩）推荐设计师倾力打造，H5设计从构思到发布一本通，随书赠送教学课件、案例的素材文件、教学视频和思维宝典。教材服务QQ:1815317009
科波特,¥34.50,¥69.00, Linux设备驱动程序（第三版）, Linux设备驱动程序（第三版） Linux社区的领导者经典著作，畅销不衰的Linux开发精粹。累计印刷25次，销量逾80000册。
米格尔·莫拉莱斯,¥69.50,¥139.00, 深度强化学习图解, 深度强化学习图解 强化学习入门书，AIGC 的技术秘密，奇妙解释复杂的RL概念。结合大量案例和应用程序，图文并茂指导你构建深度学习体系。
明日科技,¥39.90,¥79.80, Python OpenCV从入门到精通, Python OpenCV从入门到精通 130个应用实例+1个行业项目案例+136集Python零基础扫盲课，零基础入门+范例导学+项目实战，30天成为计算机视觉开发高手。
